Constant,Value
GL_2D,1536
GL_2_BYTES,5127
GL_3D,1537
GL_3D_COLOR,1538
GL_3D_COLOR_TEXTURE,1539
GL_3_BYTES,5128
GL_4D_COLOR_TEXTURE,1540
GL_4_BYTES,5129
GL_ACCUM,256
GL_ACCUM_ALPHA_BITS,3419
GL_ACCUM_BLUE_BITS,3418
GL_ACCUM_BUFFER_BIT,512
GL_ACCUM_CLEAR_VALUE,2944
GL_ACCUM_GREEN_BITS,3417
GL_ACCUM_RED_BITS,3416
GL_ACTIVE_ATOMIC_COUNTER_BUFFERS,37593
GL_ACTIVE_ATTRIBUTES,35721
GL_ACTIVE_ATTRIBUTE_MAX_LENGTH,35722
GL_ACTIVE_PROGRAM,33369
GL_ACTIVE_RESOURCES,37621
GL_ACTIVE_SUBROUTINES,36325
GL_ACTIVE_SUBROUTINE_MAX_LENGTH,36424
GL_ACTIVE_SUBROUTINE_UNIFORMS,36326
GL_ACTIVE_SUBROUTINE_UNIFORM_LOCATIONS,36423
GL_ACTIVE_SUBROUTINE_UNIFORM_MAX_LENGTH,36425
GL_ACTIVE_TEXTURE,34016
GL_ACTIVE_UNIFORMS,35718
GL_ACTIVE_UNIFORM_BLOCKS,35382
GL_ACTIVE_UNIFORM_BLOCK_MAX_NAME_LENGTH,35381
GL_ACTIVE_UNIFORM_MAX_LENGTH,35719
GL_ACTIVE_VARIABLES,37637
GL_ADD,260
GL_ALIASED_LINE_WIDTH_RANGE,33902
GL_ALL_ATTRIB_BITS,1048575
GL_ALPHA,6406
GL_ALPHA12,32829
GL_ALPHA16,32830
GL_ALPHA4,32827
GL_ALPHA8,32828
GL_ALPHA_BIAS,3357
GL_ALPHA_BITS,3413
GL_ALPHA_SCALE,3356
GL_ALPHA_TEST,3008
GL_ALPHA_TEST_FUNC,3009
GL_ALPHA_TEST_REF,3010
GL_ALREADY_SIGNALED,37146
GL_ALWAYS,519
GL_AMBIENT,4608
GL_AMBIENT_AND_DIFFUSE,5634
GL_AND,5377
GL_AND_INVERTED,5380
GL_AND_REVERSE,5378
GL_ANY_SAMPLES_PASSED,35887
GL_ANY_SAMPLES_PASSED_CONSERVATIVE,36202
GL_ARRAY_BUFFER,34962
GL_ARRAY_BUFFER_BINDING,34964
GL_ARRAY_SIZE,37627
GL_ARRAY_STRIDE,37630
GL_ATOMIC_COUNTER_BARRIER_BIT,4096
GL_ATOMIC_COUNTER_BUFFER,37568
GL_ATOMIC_COUNTER_BUFFER_ACTIVE_ATOMIC_COUNTERS,37573
GL_ATOMIC_COUNTER_BUFFER_ACTIVE_ATOMIC_COUNTER_INDICES,37574
GL_ATOMIC_COUNTER_BUFFER_BINDING,37569
GL_ATOMIC_COUNTER_BUFFER_DATA_SIZE,37572
GL_ATOMIC_COUNTER_BUFFER_INDEX,37633
GL_ATOMIC_COUNTER_BUFFER_REFERENCED_BY_COMPUTE_SHADER,37101
GL_ATOMIC_COUNTER_BUFFER_REFERENCED_BY_FRAGMENT_SHADER,37579
GL_ATOMIC_COUNTER_BUFFER_REFERENCED_BY_GEOMETRY_SHADER,37578
GL_ATOMIC_COUNTER_BUFFER_REFERENCED_BY_TESS_CONTROL_SHADER,37576
GL_ATOMIC_COUNTER_BUFFER_REFERENCED_BY_TESS_EVALUATION_SHADER,37577
GL_ATOMIC_COUNTER_BUFFER_REFERENCED_BY_VERTEX_SHADER,37575
GL_ATOMIC_COUNTER_BUFFER_SIZE,37571
GL_ATOMIC_COUNTER_BUFFER_START,37570
GL_ATTACHED_SHADERS,35717
GL_ATTRIB_STACK_DEPTH,2992
GL_AUTO_GENERATE_MIPMAP,33429
GL_AUTO_NORMAL,3456
GL_AUX0,1033
GL_AUX1,1034
GL_AUX2,1035
GL_AUX3,1036
GL_AUX_BUFFERS,3072
GL_BACK,1029
GL_BACK_LEFT,1026
GL_BACK_RIGHT,1027
GL_BGR,32992
GL_BGRA,32993
GL_BGRA_EXT,32993
GL_BGRA_INTEGER,36251
GL_BGR_EXT,32992
GL_BGR_INTEGER,36250
GL_BITMAP,6656
GL_BITMAP_TOKEN,1796
GL_BLEND,3042
GL_BLEND_COLOR,32773
GL_BLEND_DST,3040
GL_BLEND_DST_ALPHA,32970
GL_BLEND_DST_RGB,32968
GL_BLEND_EQUATION,32777
GL_BLEND_EQUATION_ALPHA,34877
GL_BLEND_EQUATION_RGB,32777
GL_BLEND_SRC,3041
GL_BLEND_SRC_ALPHA,32971
GL_BLEND_SRC_RGB,32969
GL_BLOCK_INDEX,37629
GL_BLUE,6405
GL_BLUE_BIAS,3355
GL_BLUE_BITS,3412
GL_BLUE_INTEGER,36246
GL_BLUE_SCALE,3354
GL_BOOL,35670
GL_BOOL_VEC2,35671
GL_BOOL_VEC3,35672
GL_BOOL_VEC4,35673
GL_BUFFER,33504
GL_BUFFER_ACCESS,35003
GL_BUFFER_ACCESS_FLAGS,37151
GL_BUFFER_BINDING,37634
GL_BUFFER_DATA_SIZE,37635
GL_BUFFER_IMMUTABLE_STORAGE,33311
GL_BUFFER_MAPPED,35004
